model_name,layer_name,submit_time_ts,end_time_ts,structure_start_ts,structure_end_ts,init_weight_start_ts,init_weight_end_ts,weight_start_ts,weight_end_ts,weight_preload_start_ts,weight_preload_end_ts,compute_start_ts,compute_end_ts,
vit_b_16,class_token,2661907.638055726,2661907.643383387,2661907.64310382,2661907.643201981,2661907.643202174,2661907.64321112,2661907.643227383,2661907.64322818,,,2661907.643229089,2661907.64338252,
vit_b_16,encoder,2661907.638055726,2661908.653805689,2661907.643388717,2661908.080997169,2661908.080997323,2661908.392585629,2661908.392590546,2661908.603741341,,,2661908.603743186,2661908.653803569,
vit_b_16,heads,2661907.638055726,2661908.663397336,2661908.65381546,2661908.657799903,2661908.657800098,2661908.661516329,2661908.661777654,2661908.663265374,,,2661908.663266764,2661908.663396578,
vit_b_16,conv_proj,2661909.065064867,2661909.070075125,2661909.065067011,2661909.068219306,2661909.068219483,2661909.068231576,2661909.068237549,2661909.069479124,,,2661909.069480503,2661909.070073946,
vit_b_16,class_token,2661909.065064867,2661909.070372297,2661909.070083035,2661909.070188211,2661909.070188474,2661909.070197285,2661909.070209706,2661909.070210209,,,2661909.070210995,2661909.070371442,
vit_b_16,encoder,2661909.065064867,2661910.087287833,2661909.070377614,2661909.567852755,2661909.567852919,2661909.879233258,2661909.879239984,2661910.037214871,,,2661910.037216756,2661910.087285399,
vit_b_16,heads,2661909.065064867,2661910.096923494,2661910.08729718,2661910.091294906,2661910.091295167,2661910.095022766,2661910.095289986,2661910.096790163,,,2661910.096791615,2661910.096922386,
vit_l_16,conv_proj,2661910.504202371,2661910.510420098,2661910.504204234,2661910.5082877,2661910.508287908,2661910.508301123,2661910.508306743,2661910.509717404,,,2661910.509718783,2661910.510418958,
vit_l_16,class_token,2661910.504202371,2661910.510726094,2661910.510428219,2661910.510550372,2661910.510550621,2661910.510560579,2661910.510575884,2661910.510576514,,,2661910.510577208,2661910.510725386,
vit_l_16,encoder,2661910.504202371,2661914.271100892,2661910.510730605,2661912.263789927,2661912.263790134,2661913.366886669,2661913.366892815,2661914.044925665,,,2661914.0449279,2661914.271098568,
vit_l_16,heads,2661910.504202371,2661914.284051143,2661914.271109944,2661914.276745379,2661914.27674558,2661914.281657647,2661914.282129072,2661914.283872475,,,2661914.283873926,2661914.284050187,
vit_b_16,conv_proj,2661915.688550803,2661915.693563391,2661915.688552847,2661915.691667701,2661915.691667827,2661915.691680371,2661915.691686493,2661915.692968547,,,2661915.692970206,2661915.69356207,
vit_b_16,class_token,2661915.688550803,2661915.693844276,2661915.693571461,2661915.693675934,2661915.693676121,2661915.693685479,2661915.693698286,2661915.693698889,,,2661915.693699517,2661915.693843607,
vit_b_16,encoder,2661915.688550803,2661916.697922345,2661915.693848163,2661916.178717412,2661916.178717564,2661916.490361203,2661916.490367318,2661916.648361266,,,2661916.648363564,2661916.697920166,
vit_b_16,heads,2661915.688550803,2661916.707480901,2661916.697931379,2661916.701921276,2661916.701921433,2661916.70563242,2661916.705875482,2661916.707347401,,,2661916.707348663,2661916.707480097,
vit_b_16,conv_proj,2661917.115010883,2661917.119973891,2661917.115012934,2661917.118168363,2661917.118168633,2661917.118180665,2661917.118186517,2661917.119384937,,,2661917.119386539,2661917.119972716,
vit_b_16,class_token,2661917.115010883,2661917.120265798,2661917.119981848,2661917.120098095,2661917.120098322,2661917.120107074,2661917.120119995,2661917.120120579,,,2661917.120121231,2661917.12026505,
vit_b_16,encoder,2661917.115010883,2661918.159150608,2661917.120269931,2661917.582438052,2661917.582438237,2661917.894212759,2661917.894220442,2661918.10918651,,,2661918.109188668,2661918.159147738,
vit_b_16,heads,2661917.115010883,2661918.168769521,2661918.159160251,2661918.163158239,2661918.163158384,2661918.166871229,2661918.167114636,2661918.168637493,,,2661918.168638808,2661918.168768713,
vit_b_16,conv_proj,2661918.664959999,2661918.670556615,2661918.664961456,2661918.668088795,2661918.668089061,2661918.668100449,2661918.668106003,2661918.669781041,,,2661918.669782228,2661918.670555504,
vit_b_16,class_token,2661918.664959999,2661918.670835678,2661918.670564157,2661918.670667944,2661918.670668164,2661918.670677533,2661918.670690491,2661918.670691044,,,2661918.670691718,2661918.670834861,
vit_b_16,encoder,2661918.664959999,2661919.625427845,2661918.67083975,2661919.108784891,2661919.108785072,2661919.420456838,2661919.420461932,2661919.573176927,,,2661919.573179232,2661919.625425416,
vit_b_16,heads,2661918.664959999,2661919.635248097,2661919.625436683,2661919.629489363,2661919.629489611,2661919.633202366,2661919.633560932,2661919.63511699,,,2661919.635118287,2661919.635246904,
vit_l_16,conv_proj,2661920.116940071,2661920.123211241,2661920.116941555,2661920.121043483,2661920.121043733,2661920.121056021,2661920.121062353,2661920.122484976,,,2661920.122486307,2661920.123209907,
vit_l_16,class_token,2661920.116940071,2661920.123502857,2661920.123218703,2661920.123329848,2661920.123330072,2661920.123339024,2661920.123352507,2661920.123353093,,,2661920.12335377,2661920.123502096,
vit_l_16,encoder,2661920.116940071,2661923.447186786,2661920.12350681,2661921.617889359,2661921.617889541,2661922.721386813,2661922.721392004,2661923.21524813,,,2661923.215250972,2661923.447184394,
vit_l_16,heads,2661920.116940071,2661923.46071528,2661923.447196434,2661923.453168302,2661923.453168509,2661923.458181356,2661923.458768263,2661923.46054593,,,2661923.460547676,2661923.460714422,
